# Time(s)  Normalized_Flux
7090.000000 1.005248
7100.000000 0.998373
7110.000000 0.998945
7120.000000 1.020548
7130.000000 1.010756
7140.000000 1.006444
7150.000000 1.020976
7160.000000 1.019078
7170.000000 1.010992
7180.000000 1.011507
7190.000000 1.009200
7200.000000 1.032234
7210.000000 1.017783
7220.000000 1.003541
7230.000000 1.020752
7240.000000 1.014501
7250.000000 1.007204
7260.000000 0.993839
7270.000000 0.991536
7280.000000 1.008299
7290.000000 0.987945
7320.000000 0.992161
7340.000000 0.997631
7350.000000 0.975857
7360.000000 0.988985
7370.000000 0.991939
7380.000000 0.984119
7390.000000 0.986560
7400.000000 0.987493
7410.000000 0.984141
7420.000000 0.975797
7430.000000 0.982749
7460.000000 0.970375
7470.000000 0.970529
7480.000000 0.965414
7490.000000 0.966333
7500.000000 0.971563
7510.000000 0.973605
7520.000000 0.983162
7530.000000 0.980284
7540.000000 0.984753
7550.000000 0.986307
7560.000000 0.985242
7570.000000 0.991826
7580.000000 0.990413
7590.000000 0.997693
7600.000000 0.986843
7610.000000 0.994590
7620.000000 1.003948
7630.000000 1.027144
7640.000000 1.020708
7650.000000 1.047005
7660.000000 1.053469
7670.000000 1.049698
7690.000000 1.047683
7700.000000 1.042757
7710.000000 1.043353
7720.000000 1.037313
7730.000000 1.037571
7740.000000 1.025243
7750.000000 1.005558
7760.000000 1.019098
7770.000000 1.016396
7780.000000 1.008793
7790.000000 1.006792
7800.000000 0.993651
7810.000000 0.974353
7820.000000 0.990036
7830.000000 0.978172
7840.000000 0.985672
7850.000000 0.971915
7860.000000 0.968905
7870.000000 0.983343
7880.000000 0.968761
7890.000000 0.975706
7900.000000 0.963240
7910.000000 0.981749
7920.000000 0.979026
7930.000000 0.973967
7940.000000 0.986034
7950.000000 0.984715
7960.000000 0.986138
7970.000000 0.989951
7980.000000 0.980722
7990.000000 1.004160
8000.000000 1.016280
8010.000000 1.003445
8020.000000 1.031846
8030.000000 1.028972
8040.000000 1.038779
8050.000000 1.047836
8060.000000 1.053607
8080.000000 1.067219
8090.000000 1.074138
8100.000000 1.074036
8110.000000 1.074531
8120.000000 1.061831
8130.000000 1.069016
8140.000000 1.057562
8150.000000 1.042942
8160.000000 1.052865
8170.000000 1.028574
8180.000000 1.035981
8190.000000 1.012851
8200.000000 1.019305
8210.000000 1.009648
8220.000000 1.005450
8230.000000 0.993237
8240.000000 0.993328
8250.000000 0.992562
8260.000000 0.988614
8270.000000 0.999919
8280.000000 0.993197
8290.000000 0.999510
8300.000000 1.007348
8310.000000 0.997629
8320.000000 1.000152
8330.000000 1.006258
8340.000000 0.998673
8350.000000 0.987536
8360.000000 0.992050
8370.000000 0.980391
8380.000000 0.998928
8390.000000 0.978346
8400.000000 0.970171
8410.000000 0.975898
8420.000000 0.986249
8430.000000 0.975886
8440.000000 0.973216
8450.000000 0.986917
8460.000000 0.976616
8470.000000 0.983641
8480.000000 0.983438
8490.000000 0.981990
8500.000000 0.986181
8510.000000 0.987973
8520.000000 0.974929
8530.000000 1.007311
8540.000000 0.993920
8550.000000 0.995109
8560.000000 0.983916
8570.000000 0.993948
8580.000000 1.011288
8590.000000 0.994441
8600.000000 1.010714
8610.000000 1.025827
8620.000000 1.031269
8630.000000 1.024609
8640.000000 1.018554
8650.000000 1.009770
8660.000000 1.009848
8670.000000 1.006134
8680.000000 1.029032
8690.000000 1.009499
8700.000000 1.004197
8710.000000 1.004460
8720.000000 1.002761
8730.000000 0.994514
8740.000000 1.001807
8750.000000 0.987197
8760.000000 1.004472
8770.000000 0.988410
8780.000000 0.993530
8790.000000 0.991832
8800.000000 0.990388
8810.000000 0.990506
8820.000000 1.000364
8830.000000 1.006269
8840.000000 1.003581
8850.000000 1.025964
8860.000000 1.021043
8870.000000 1.011497
8880.000000 1.008912
8890.000000 1.013515
8900.000000 1.018395
8910.000000 1.033705
8920.000000 1.029205
8930.000000 1.028177
8940.000000 1.038207
8950.000000 1.034423
8960.000000 1.048343
8970.000000 1.066453
8980.000000 1.077899
8990.000000 1.058953
9000.000000 1.058632
9010.000000 1.076909
9020.000000 1.065598
9030.000000 1.059025
9040.000000 1.044398
9050.000000 1.043897
9060.000000 1.039316
9070.000000 1.029175
9080.000000 1.016011
9090.000000 1.007074
9100.000000 0.992730
9110.000000 1.009743
9130.000000 0.989148
9150.000000 0.980357
9160.000000 1.002107
9170.000000 0.965134
9180.000000 0.989311
9190.000000 0.973172
9200.000000 0.964996
9210.000000 0.946424
9220.000000 0.966021
9230.000000 0.964741
9240.000000 0.967269
9250.000000 0.967593
9260.000000 0.978239
9270.000000 0.973030
9280.000000 0.963744
9290.000000 0.958359
9300.000000 0.965794
9310.000000 0.967219
9320.000000 0.959218
9330.000000 0.961716
9340.000000 0.992710
9350.000000 0.996588
9360.000000 1.005768
9370.000000 0.997477
9380.000000 1.006860
9390.000000 1.030492
9400.000000 1.040705
9410.000000 1.046262
9420.000000 1.047187
9430.000000 1.055391
9440.000000 1.055074
9450.000000 1.059017
9460.000000 1.056582
9470.000000 1.035783
9480.000000 1.065913
9490.000000 1.042551
9500.000000 1.053554
9510.000000 1.054267
9520.000000 1.036876
9530.000000 1.038111
9540.000000 1.015185
9550.000000 1.031757
9560.000000 1.041078
9570.000000 1.003134
9580.000000 1.030268
9590.000000 1.020332
9600.000000 1.011423
9610.000000 1.016837
9630.000000 1.025783
9640.000000 1.026422
9650.000000 1.002140
9660.000000 1.013745
9670.000000 1.019712
9680.000000 1.003934
9690.000000 0.993380
9700.000000 1.012763
9710.000000 1.002487
9720.000000 0.986192
9730.000000 0.980935
9740.000000 0.972323
9750.000000 0.969071
9760.000000 0.990228
9770.000000 0.983698
9780.000000 0.980178
9790.000000 0.991054
9800.000000 0.987168
9810.000000 0.984107
9820.000000 0.987336
9830.000000 0.983911
9840.000000 0.971871
9850.000000 0.988092
9860.000000 0.981577
9870.000000 0.997985
9880.000000 0.998011
9890.000000 1.015341
9900.000000 0.999808
9910.000000 1.000270
9920.000000 1.008202
9930.000000 1.007178
9940.000000 1.032020
9970.000000 1.030011
9980.000000 1.013907
9990.000000 1.017071
10000.000000 1.005161
10010.000000 1.006890
10020.000000 0.979174
10030.000000 0.992685
10040.000000 1.005593
10050.000000 0.984807
10060.000000 0.989363
10070.000000 0.995501
10080.000000 1.006706
10090.000000 0.982680
10100.000000 1.004709
10110.000000 1.007979
10120.000000 0.976395
10130.000000 0.993148
10140.000000 0.992567
10150.000000 0.993884
10160.000000 1.022973
10170.000000 1.013454
10180.000000 1.018833
10190.000000 1.015053
10200.000000 1.030385
10210.000000 1.020048
10220.000000 1.035758
10230.000000 1.053897
10240.000000 1.053819
10260.000000 1.063490
10270.000000 1.066674
10280.000000 1.075819
10290.000000 1.063919
10310.000000 1.081096
10340.000000 1.062615
10360.000000 1.054855
10370.000000 1.048078
10380.000000 1.037617
10390.000000 1.034062
10420.000000 1.012068
10430.000000 1.009206
10440.000000 1.007154
10450.000000 0.999928
10460.000000 0.982970
10470.000000 0.989630
10480.000000 0.991615
10490.000000 0.977955
10540.000000 0.967541
10550.000000 0.970725
10560.000000 0.974371
10570.000000 0.958492
10580.000000 0.961454
10590.000000 0.963598
10600.000000 0.966891
10610.000000 0.945492
10620.000000 0.979380
10630.000000 0.963420
10640.000000 0.965561
10650.000000 0.976527
10660.000000 0.984450
10670.000000 0.983231
10680.000000 0.989232
10690.000000 0.986468
10700.000000 0.977530
10710.000000 0.981382
10720.000000 0.984121
10730.000000 0.993201
10740.000000 0.985358
10750.000000 1.010189
10760.000000 0.993300
10770.000000 1.002542
10780.000000 1.014537
10790.000000 1.032080
10800.000000 1.047205
10810.000000 1.035479
10820.000000 1.047612
10830.000000 1.053353
10840.000000 1.046613
10850.000000 1.070943
10860.000000 1.067481
10870.000000 1.063041
10880.000000 1.054118
10890.000000 1.062412
10900.000000 1.058154
10910.000000 1.055650
10920.000000 1.054269
10930.000000 1.042260
10940.000000 1.047408
10950.000000 1.024800
10960.000000 1.018375
10970.000000 1.029887
10980.000000 1.038521
10990.000000 1.024532
11000.000000 1.024394
11010.000000 1.029040
11020.000000 1.027394
11030.000000 1.002309
11050.000000 0.997547
11060.000000 0.998175
11070.000000 1.010222
11080.000000 0.995878
11090.000000 0.999324
11100.000000 0.984453
11110.000000 0.985211
11120.000000 0.991977
11130.000000 0.994433
11140.000000 0.971788
11150.000000 0.990436
11160.000000 0.989148
11170.000000 0.979112
11180.000000 0.993071
11190.000000 0.979850
11200.000000 0.981641
11210.000000 0.988361
11220.000000 0.983983
11230.000000 0.991077
11240.000000 0.980894
11250.000000 0.983381
11260.000000 0.979743
11280.000000 0.989902
11290.000000 0.982312
11300.000000 0.972658
11310.000000 0.980538
11320.000000 0.982864
11330.000000 0.990049
11340.000000 0.970424
11350.000000 0.990645
11360.000000 0.987102
11370.000000 0.985669
11380.000000 0.998215
11390.000000 0.990458
11400.000000 0.993343
11410.000000 0.991214
11430.000000 0.998918
11440.000000 0.997695
11460.000000 1.014408
11470.000000 1.018075
11480.000000 1.004949
11490.000000 1.010893
11500.000000 1.009083
11520.000000 1.019193
11530.000000 1.007347
11540.000000 1.041281
11550.000000 1.026432
11560.000000 1.024041
11570.000000 1.045572
11580.000000 1.031860
11590.000000 1.032833
11600.000000 1.036317
11610.000000 1.036220
11620.000000 1.047775
11630.000000 1.040856
11640.000000 1.033455
11650.000000 1.040363
11660.000000 1.044622
11670.000000 1.044896
11680.000000 1.044150
11690.000000 1.046126
11700.000000 1.015735
11710.000000 1.034473
11720.000000 1.006501
11730.000000 1.017171
11740.000000 1.024196
11750.000000 1.023308
11760.000000 1.011247
11770.000000 0.992132
11780.000000 1.001624
11790.000000 0.998759
11800.000000 0.982364
11820.000000 0.984092
11830.000000 0.991244
11840.000000 0.982166
11850.000000 0.983778
11860.000000 0.985516
11870.000000 0.977748
11880.000000 0.968253
11890.000000 0.976825
11900.000000 0.971466
11910.000000 0.985573
11920.000000 0.987357
11930.000000 0.981028
11940.000000 0.966356
11950.000000 0.978763
11960.000000 0.977537
11970.000000 0.984860
11980.000000 0.976206
11990.000000 0.965389
12000.000000 0.976903
12010.000000 0.981899
12020.000000 0.977660
12030.000000 0.977952
12040.000000 0.963910
12050.000000 0.989208
12060.000000 0.995306
12070.000000 0.981910
12080.000000 1.000515
12090.000000 0.983463
12100.000000 0.997160
12110.000000 0.994499
12120.000000 1.005427
12130.000000 1.021992
12140.000000 1.028159
12150.000000 1.021490
12160.000000 1.040910
12170.000000 1.055809
12180.000000 1.035085
12190.000000 1.060395
12200.000000 1.039619
12210.000000 1.051101
12220.000000 1.043619
12230.000000 1.040558
12240.000000 1.047707
12250.000000 1.040107
12260.000000 1.074922
12270.000000 1.067335
12280.000000 1.074070
12290.000000 1.077312
12300.000000 1.076810
12310.000000 1.070505
12320.000000 1.084949
12330.000000 1.058171
12340.000000 1.046834
12350.000000 1.045005
12360.000000 1.028919
12370.000000 1.031918
12380.000000 1.022144
12390.000000 1.003226
12400.000000 1.015234
12410.000000 1.006478
12420.000000 0.995249
12430.000000 0.989937
12440.000000 1.009775
12450.000000 1.001830
12460.000000 0.977986
12470.000000 0.988301
12480.000000 0.981359
12490.000000 0.989183
12500.000000 0.986888
12510.000000 0.969606
12520.000000 0.999789
12530.000000 0.994143
12540.000000 0.970962
12550.000000 0.990433
12560.000000 0.957644
12570.000000 0.977202
12580.000000 0.968173
12590.000000 0.958993
12610.000000 0.969044
12620.000000 0.968631
12630.000000 0.975624
12640.000000 0.969583
12650.000000 0.972186
12660.000000 0.981068
12670.000000 0.983205
12680.000000 0.973960
12690.000000 0.957732
12700.000000 0.998887
12710.000000 0.967956
12720.000000 0.978359
12730.000000 0.998602
12740.000000 0.986224
12750.000000 0.991318
12760.000000 1.005842
12770.000000 0.981017
12780.000000 1.006810
12790.000000 1.000431
12800.000000 1.000182
12810.000000 1.028484
12820.000000 1.019768
12830.000000 1.027854
12840.000000 1.012592
12850.000000 1.002509
12860.000000 1.013233
12870.000000 1.005662
12880.000000 1.006029
12890.000000 1.014795
12900.000000 0.988044
12910.000000 1.002438
12920.000000 1.026310
12930.000000 1.018692
12940.000000 1.022893
12950.000000 1.030649
12960.000000 1.044124
12970.000000 1.055468
12980.000000 1.054592
12990.000000 1.059392
13000.000000 1.042132
13010.000000 1.042760
13020.000000 1.057299
13030.000000 1.039405
13040.000000 1.050329
13050.000000 1.052523
13060.000000 1.030282
13070.000000 1.044032
13080.000000 1.049084
13090.000000 1.046472
13100.000000 1.047958
13110.000000 1.033990
13120.000000 1.027937
13130.000000 1.023816
13140.000000 1.013522
13150.000000 1.024158
13160.000000 1.005551
13170.000000 0.973893
13180.000000 1.009252
13190.000000 0.976435
13200.000000 0.976744
13210.000000 0.986661
13220.000000 0.985575
13230.000000 0.987165
13240.000000 0.979268
13250.000000 0.968582
13260.000000 0.976838
13270.000000 0.963004
13280.000000 0.984334
13290.000000 0.986033
13300.000000 0.974983
13310.000000 0.963841
13320.000000 0.955868
13330.000000 0.964855
13340.000000 0.973610
13350.000000 0.955150
13360.000000 0.968349
13370.000000 0.976448
13380.000000 0.971137
13390.000000 0.968860
13400.000000 0.973196
13410.000000 0.943165
13420.000000 0.972322
13430.000000 0.986562
13440.000000 0.977945
13450.000000 0.986204
13460.000000 0.998335
13470.000000 0.982396
13480.000000 0.994208
13490.000000 0.988528
13500.000000 0.999078
13510.000000 0.999599
13520.000000 1.003143
13530.000000 0.999646
13540.000000 1.009007
13550.000000 1.023118
13560.000000 1.027079
13570.000000 1.046796
13580.000000 1.044869
13590.000000 1.076552
13600.000000 1.087428
13610.000000 1.096787
13620.000000 1.095668
13640.000000 1.082337
13650.000000 1.081622
13660.000000 1.091788
13670.000000 1.094462
13680.000000 1.092911
13690.000000 1.072759
13700.000000 1.077322
13710.000000 1.054343
13720.000000 1.042806
13730.000000 1.038170
13740.000000 1.028338
13750.000000 1.036192
13760.000000 1.010209
13770.000000 1.012814
13780.000000 1.013704
13790.000000 1.006402
13800.000000 1.005659
13810.000000 0.985945
13820.000000 0.992354
13830.000000 0.993078
13840.000000 0.977127
13850.000000 0.963655
13860.000000 0.967478
13870.000000 0.964837
13880.000000 0.969242
13890.000000 0.967352
13900.000000 0.969113
